Country,Alpha-3
Австралия,AUS
Австрия,AUT
Азербайджан,AZE
Аландские острова,ALA
Албания,ALB
Алжир,DZA
Виргинские Острова (США),VIR
Американское Самоа,ASM
Ангилья,AIA
Ангола,AGO
Андорра,AND
Антарктика,ATA
Антигуа и Барбуда,ATG
Аргентина,ARG
Армения,ARM
Багамские Острова,BHS
Бангладеш,BGD
Барбадос,BRB
Бахрейн,BHR
Белиз,BLZ
Белоруссия,BLR
Бельгия,BEL
Бенин,BEN
Бермуды,BMU
Болгария,BGR
Боливия,BOL
"Бонайре, Синт-Эстатиус и Саба",BES
Босния и Герцеговина,BIH
Ботсвана,BWA
Бразилия,BRA
Британская территория в Индийском океане,IOT
Виргинские Острова (Великобритания),VGB
Бруней,BRN
Буркина-Фасо,BFA
Бурунди,BDI
Бутан,BTN
Вануату,VUT
Ватикан,VAT
Великобритания,GBR
Венгрия,HUN
Венесуэла,VEN
Внешние малые острова США,UMI
Восточный Тимор,TLS
Вьетнам,VNM
Габон,GAB
Гаити,HTI
Гайана,GUY
Гамбия,GMB
Гана,GHA
Гваделупа,GLP
Гватемала,GTM
Гвиана,GUF
Гвинея,GIN
Гвинея-Бисау,GNB
Германия,DEU
Гернси,GGY
Гибралтар,GIB
Гондурас,HND
Гонконг,HKG
Гренада,GRD
Гренландия,GRL
Греция,GRC
Грузия,GEO
Гуам,GUM
Дания,DNK
Джерси,JEY
Джибути,DJI
Доминика,DMA
Доминиканская Республика,DOM
ДР Конго,COD
Египет,EGY
 Замбия,ZMB
САДР,ESH
Зимбабве,ZWE
Израиль,ISR
Индия,IND
Индонезия,IDN
Иордания,JOR
Ирак,IRQ
Иран,IRN
Ирландия,IRL
Исландия,ISL
Испания,ESP
Италия,ITA
Йемен,YEM
Кабо-Верде,CPV
Казахстан,KAZ
Острова Кайман,CYM
Камбоджа,KHM
Камерун,CMR
Канада,CAN
Катар,QAT
Кения,KEN
Кипр,CYP
Киргизия,KGZ
Кирибати,KIR
Китайская Республика,TWN
КНДР,PRK
Китай,CHN
Кокосовые острова,CCK
Колумбия,COL
Коморы,COM
Коста-Рика,CRI
Куба,CUB
Кувейт,KWT
Кюрасао,CUW
Лаос,LAO
Латвия,LVA
Лесото,LSO
Либерия,LBR
Ливан,LBN
Ливия,LBY
Литва,LTU
Лихтенштейн,LIE
Люксембург,LUX
Маврикий,MUS
Мавритания,MRT
Мадагаскар,MDG
Майотта,MYT
Макао,MAC
Северная Македония,MKD
Малави,MWI
Малайзия,MYS
Мали,MLI
Мальдивы,MDV
Мальта,MLT
Марокко,MAR
Мартиника,MTQ
Маршалловы Острова,MHL
Мексика,MEX
Микронезия,FSM
Мозамбик,MOZ
Республика Молдова,MDA
Монако,MCO
Монголия,MNG
Монтсеррат,MSR
Мьянма,MMR
Намибия,NAM
Науру,NRU
Непал,NPL
Нигер,NER
Нигерия,NGA
Нидерланды,NLD
Никарагуа,NIC
Ниуэ,NIU
Новая Зеландия,NZL
Новая Каледония,NCL
Норвегия,NOR
ОАЭ,ARE
Оман,OMN
Остров Буве,BVT
Остров Мэн,IMN
Острова Кука,COK
Остров Норфолк,NFK
Остров Рождества,CXR
Острова Питкэрн,PCN
"Острова Святой Елены, Вознесения и Тристан-да-Кунья",SHN
Пакистан,PAK
Палау,PLW
Государство Палестина,PSE
Панама,PAN
Папуа — Новая Гвинея,PNG
Парагвай,PRY
Перу,PER
Польша,POL
Португалия,PRT
Пуэрто-Рико,PRI
Республика Конго,COG
Республика Корея,KOR
Реюньон,REU
Россия,RUS
Руанда,RWA
Румыния,ROU
Сальвадор,SLV
Самоа,WSM
Сан-Марино,SMR
Сан-Томе и Принсипи,STP
Саудовская Аравия,SAU
Эсватини,SWZ
Северные Марианские Острова,MNP
Сейшельские Острова,SYC
Сен-Бартелеми,BLM
Сен-Мартен,MAF
Сен-Пьер и Микелон,SPM
Сенегал,SEN
Сент-Винсент и Гренадины,VCT
Сент-Китс и Невис,KNA
Сент-Люсия,LCA
Сербия,SRB
Сингапур,SGP
Синт-Мартен,SXM
Сирия,SYR
Словакия,SVK
Словения,SVN
Соломоновы Острова,SLB
Сомали,SOM
Судан,SDN
Суринам,SUR
Соединенные Штаты Америки,USA
Сьерра-Леоне,SLE
Таджикистан,TJK
Таиланд,THA
Танзания,TZA
Теркс и Кайкос,TCA
Того,TGO
Токелау,TKL
Тонга,TON
Тринидад и Тобаго,TTO
Тувалу,TUV
Тунис,TUN
Туркмения,TKM
Турция,TUR
Уганда,UGA
Узбекистан,UZB
Украина,UKR
Уоллис и Футуна,WLF
Уругвай,URY
Фарерские острова,FRO
Фиджи,FJI
Филиппины,PHL
Финляндия,FIN
Фолклендские острова,FLK
Франция,FRA
Французская Полинезия,PYF
Французские Южные и Антарктические территории,ATF
Херд и Макдональд,HMD
Хорватия,HRV
ЦАР,CAF
Чад,TCD
Черногория,MNE
Чехия,CZE
Чили,CHL
Швейцария,CHE
Швеция,SWE
Флаг Шпицбергена и Ян-Майена Шпицберген и Ян-Майен,SJM
Шри-Ланка,LKA
Эквадор,ECU
Экваториальная Гвинея,GNQ
Эритрея,ERI
Эстония,EST
Эфиопия,ETH
Южная Африка,ZAF
Южная Георгия и Южные Сандвичевы Острова,SGS
Южный Судан,SSD
Ямайка,JAM
Япония,JPN
