code,code_check,title,value
135115,135115,price,1 490 ₽
135115,135115,rating,4.8
135115,135115,"Страна, регион:","Германия##, Мозель"
135115,135115,Вино:,белое
135115,135115,Сахар:,полусухое
135115,135115,Виноград:,рислинг
135115,135115,Производитель:,Nik Weis St. Urbans-Hof
135115,135115,Крепость:,10%
135115,135115,Объем:,0.75 л
135115,135115,Регион:,Мозель
131652,131652,price,4 490 ₽
133205,133205,price,1 120 ₽
135092,135092,price,5 490 ₽
135813,135813,price,2 790 ₽
135115,135115,Год:,2020
135115,135115,Потенциал хранения:,5-7 лет.
135115,135115,Аппелласьон:,Mosel
135115,135115,Категория:,Qualitatswein (QbA)
135115,135115,Декантация:,не рекомендуется
135115,135115,Выдержка в емкости:,Нейтральная емкость
131652,131652,rating,5.0
131652,131652,"Страна, регион:","Грузия##, Кахетия"
131652,131652,Вино:,белое
131652,131652,Сахар:,сухое
131652,131652,Виноград:,киси
131652,131652,Производитель:,Binekhi
131652,131652,Крепость:,12%
131652,131652,Объем:,0.75 л
131652,131652,Регион:,Кахетия
131652,131652,Год:,2015
131652,131652,Потенциал хранения:,3-4 года.
133205,133205,rating,0.0
137306,137306,price,2 490 ₽
135092,135092,rating,0.0
135092,135092,"Страна, регион:","Италия##, Тоскана"
135092,135092,Вино:,белое
135092,135092,Сахар:,сухое
135092,135092,Виноград:,шардоне
135092,135092,Производитель:,Castello Banfi
135092,135092,Крепость:,13%
135092,135092,Объем:,0.75 л
135092,135092,Регион:,Тоскана
135092,135092,Год:,2019
135092,135092,Потенциал хранения:,5-7 лет.
135092,135092,Аппелласьон:,Toscana IGT
135092,135092,Категория:,Indicazione Geografica Tipica (IGT)
135092,135092,Декантация:,не рекомендуется
135813,135813,rating,4.7
135813,135813,"Страна, регион:","Испания##, Риоха"
135813,135813,Вино:,красное
135813,135813,Сахар:,сухое
135813,135813,Виноград:,темпранильо
135813,135813,Производитель:,Finca Nueva
135813,135813,Крепость:,14%
135813,135813,Объем:,0.75 л
135813,135813,Регион:,Риоха
135813,135813,Год:,2016
135813,135813,Потенциал хранения:,7-10 лет.
135813,135813,Аппелласьон:,Rioja DOCa
131649,131649,price,1 390 ₽
130944,130944,price,"893 ₽                                        
                        "
130905,130905,price,1 990 ₽
131575,131575,price,4 490 ₽
128308,128308,price,1 990 ₽
130909,130909,price,4 140 ₽
131652,131652,Аппелласьон:,Kakheti PGI
131652,131652,Декантация:,аэрация
131652,131652,Выдержка в емкости:,Нейтральная емкость
133205,133205,"Страна, регион:","Грузия##, Кахетия"
133205,133205,Вино:,белое
133205,133205,Сахар:,сухое
133205,133205,Виноград:,ркацители
133205,133205,Производитель:,Giuaani
133205,133205,Крепость:,13%
133205,133205,Объем:,0.75 л
133205,133205,Регион:,Кахетия
137306,137306,rating,0.0
137306,137306,"Страна, регион:","Испания##, Риоха"
137306,137306,Вино:,красное
137306,137306,Сахар:,сухое
137306,137306,Виноград:,грасиано##темпранильо
137306,137306,Производитель:,Hacienda Lopez de Haro
137306,137306,Крепость:,14%
137306,137306,Объем:,0.75 л
123719,123719,price,890 ₽
135092,135092,Выдержка в емкости:,Бочка
135813,135813,Категория:,Denominacion de Origen Calificada (DOCa)
135813,135813,Декантация:,аэрация
135813,135813,Выдержка в емкости:,Бочка
131649,131649,rating,0.0
131649,131649,"Страна, регион:",Грузия
131649,131649,Вино:,розовое
131649,131649,Сахар:,полусухое
131649,131649,Виноград:,саперави##ркацители##киси##мцване
131649,131649,Производитель:,Binekhi
131649,131649,Крепость:,12%
131649,131649,Объем:,0.75 л
131649,131649,Год:,2020
131649,131649,Потенциал хранения:,1-2 года.
131649,131649,Категория:,Столовое вино
130944,130944,rating,4.6
130944,130944,"Страна, регион:","Италия##, Апулия"
130944,130944,Вино:,красное
130944,130944,Сахар:,полусухое
130944,130944,Виноград:,примитиво
130944,130944,Производитель:,Cielo
130944,130944,Крепость:,13%
130944,130944,Объем:,0.75 л
130944,130944,Регион:,Апулия
130944,130944,Год:,2020
130944,130944,Потенциал хранения:,2-4 года.
130905,130905,rating,5.0
130905,130905,"Страна, регион:","Италия##, Тоскана"
130905,130905,Вино:,розовое
130905,130905,Сахар:,полусухое
130905,130905,Виноград:,каберне совиньон##мерло##санджовезе
130905,130905,Производитель:,Castello Banfi
130905,130905,Крепость:,12%
130905,130905,Объем:,0.75 л
130905,130905,Регион:,Тоскана
130905,130905,Год:,2020
131575,131575,rating,4.2
131575,131575,"Страна, регион:","Италия##, Тоскана"
131575,131575,Вино:,красное
131575,131575,Сахар:,сухое
131575,131575,Виноград:,мерло##санджовезе
131575,131575,Производитель:,Bertinga
131575,131575,Крепость:,14%
131575,131575,Объем:,0.75 л
131575,131575,Регион:,Тоскана
