properties.name,geometry.type,geometry.coordinates,properties.description,properties.CompanyMetaData.address,properties.CompanyMetaData.Hours.text,coordinates_lon,coordinates_lat
SimpleWine,Point,"[30.319722, 59.870619]","Московский просп., 157, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Московский проспект, 157","ежедневно, 11:00–22:00",30.319722,59.870619
SimpleWine,Point,"[37.279881, 55.800595]","1, корп. 4, д. Воронки, Россия","Россия, Московская область, городской округ Красногорск, деревня Воронки, 1, корп. 4","ежедневно, 10:00–22:00",37.279881,55.800595
SimpleWine,Point,"[40.2598, 43.683063]","наб. Времена Года, 3, село Эсто-Садок, Россия","Россия, Краснодарский край, городской округ Сочи, село Эсто-Садок, набережная Времена Года, 3","ежедневно, 11:00–22:00",40.2598,43.683063
SimpleWine,Point,"[30.304675, 59.960998]","Большой просп. Петроградской стороны, 45, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Большой проспект Петроградской стороны, 45","ежедневно, 11:00–22:00",30.304675,59.960998
SimpleWine,Point,"[37.799268, 55.811123]","Щёлковское ш., вл75, Москва, Россия","Россия, Москва, Щёлковское шоссе, вл75","пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",37.799268,55.811123
SimpleWine,Point,"[39.719453, 47.260338]","просп. Михаила Нагибина, 32И, Ростов-на-Дону, Россия","Россия, Ростов-на-Дону, проспект Михаила Нагибина, 32И","ежедневно, 10:00–22:00",39.719453,47.260338
SimpleWine,Point,"[30.358559, 59.931671]","Невский просп., 114-116, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Невский проспект, 114-116","ежедневно, 10:00–22:00",30.358559,59.931671
SimpleWine,Point,"[30.376426, 59.926622]","Невский просп., 137, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Невский проспект, 137","ежедневно, 11:00–22:00",30.376426,59.926622
SimpleWine,Point,"[37.851804, 55.687236]","ул. Авиаконструктора Миля, 3А, Москва, Россия","Россия, Москва, улица Авиаконструктора Миля, 3А","пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",37.851804,55.687236
SimpleWine,Point,"[30.258856, 59.961056]","Петровский просп., 24, корп. 1, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Петровский проспект, 24, корп. 1","ежедневно, 11:00–22:00",30.258856,59.961056
SimpleWine,Point,"[37.128896, 55.810551]","115, стр. 2, д. Новинки, Россия","Россия, Московская область, городской округ Истра, деревня Новинки, 115, стр. 2","ежедневно, 10:00–22:00",37.128896,55.810551
SimpleWine,Point,"[37.38653, 55.821077]","Международная ул., 12, Красногорск, Россия","Россия, Московская область, Красногорск, Международная улица, 12","ежедневно, 10:00–23:00",37.38653,55.821077
SimpleWine,Point,"[30.331075, 59.976297]","ул. Александра Матросова, 1, стр. 1, Санкт-Петербург, Россия","Россия, Санкт-Петербург, улица Александра Матросова, 1, стр. 1","ежедневно, 11:00–22:00",30.331075,59.976297
SimpleWine,Point,"[30.255131, 59.936697]","Средний просп. Васильевского острова, 83, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Средний проспект Васильевского острова, 83","ежедневно, 11:00–22:00",30.255131,59.936697
SimpleWine,Point,"[37.503468, 55.67459]","просп. Вернадского, 41, Москва, Россия","Россия, Москва, проспект Вернадского, 41","ежедневно, 10:00–23:00",37.503468,55.67459
SimpleWine,Point,"[37.63645, 55.742333]","Озерковская наб., 6, Москва, Россия","Россия, Москва, Озерковская набережная, 6","ежедневно, 10:00–23:00",37.63645,55.742333
SimpleWine,Point,"[37.583373, 55.769231]","Тишинская площадь, 1, стр. 1, Москва, Россия","Россия, Москва, Тишинская площадь, 1, стр. 1","ежедневно, 11:00–23:00",37.583373,55.769231
SimpleWine,Point,"[37.578452, 55.725288]","Комсомольский просп., 30, Москва, Россия","Россия, Москва, Комсомольский проспект, 30","ежедневно, 10:00–23:00",37.578452,55.725288
SimpleWine,Point,"[30.306804, 59.971677]","Каменноостровский просп., 55, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Каменноостровский проспект, 55","ежедневно, 11:00–22:00",30.306804,59.971677
SimpleWine,Point,"[37.560404, 55.78525]","Ленинградский просп., 29, корп. 4, Москва, Россия","Россия, Москва, Ленинградский проспект, 29, корп. 4","ежедневно, 10:00–23:00",37.560404,55.78525
